product_category_name,total_revenue,total_shipping_cost,estimated_profit
relogios_presentes,1205005.6800000095,100535.92999999937,1104469.7499999988
beleza_saude,1258681.3400000031,182566.7300000003,1076114.6099999996
cama_mesa_banho,1036988.6800000534,204693.04000000059,832295.639999998
esporte_lazer,988048.97000001627,168607.50999999896,819441.46000000054
informatica_acessorios,911954.32000001392,147318.079999999,764636.24000000034
moveis_decoracao,729762.49000001024,172749.29999999917,557013.19
cool_stuff,635290.84999999579,84039.100000000239,551251.74999999988
automotivo,592720.10999999521,92664.21,500055.9000000002
utilidades_domesticas,632248.65999999736,146149.10999999984,486099.5499999983
brinquedos,483946.5999999966,77425.949999999968,406520.64999999967
